"centre","count","location","lon","lat"
"BLK 531A UPPER CROSS STREET 01-48",3,"BLK 531A UPPER CROSS STREET 01-48, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 01-51",2,"BLK 531A UPPER CROSS STREET 01-51, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 01-55",6,"BLK 531A UPPER CROSS STREET 01-55, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 01-65",1,"BLK 531A UPPER CROSS STREET 01-65, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 02-01",6,"BLK 531A UPPER CROSS STREET 02-01, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 02-07",1,"BLK 531A UPPER CROSS STREET 02-07, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 02-08",2,"BLK 531A UPPER CROSS STREET 02-08, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 02-09",1,"BLK 531A UPPER CROSS STREET 02-09, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 02-28",1,"BLK 531A UPPER CROSS STREET 02-28, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 02-51",3,"BLK 531A UPPER CROSS STREET 02-51, Singapore",103.8461081,1.284504
"BLK 531A UPPER CROSS STREET 01-44",1,"BLK 531A UPPER CROSS STREET 01-44, Singapore",103.8461081,1.284504
"BLK 6 JALAN BUKIT MERAH 01-02",3,"BLK 6 JALAN BUKIT MERAH 01-02, Singapore",103.8079014,1.287259
"BLK 6 JALAN BUKIT MERAH 01-103",3,"BLK 6 JALAN BUKIT MERAH 01-103, Singapore",103.8079014,1.287259
"BLK 6 JALAN BUKIT MERAH 01-113",1,"BLK 6 JALAN BUKIT MERAH 01-113, Singapore",103.8079014,1.287259
"BLK 6 JALAN BUKIT MERAH",27,"BLK 6 JALAN BUKIT MERAH, Singapore",103.8079014,1.287259
"BLK 6 TANJONG PAGAR PLAZA",17,"BLK 6 TANJONG PAGAR PLAZA, Singapore",103.8426984,1.2767855
"BLK 628 ANG MO KIO AVENUE 4",30,"BLK 628 ANG MO KIO AVENUE 4, Singapore",103.840651,1.3809845
"BLK 7 EMPRESS ROAD",13,"BLK 7 EMPRESS ROAD, Singapore",103.8057946,1.3164558
"BLK 726 CLEMENTI WEST STREET 2",14,"BLK 726 CLEMENTI WEST STREET 2, Singapore",103.764132,1.303831
"BLK 75 TOA PAYOH LORONG 5",1,"BLK 75 TOA PAYOH LORONG 5, Singapore",103.853005,1.336115
"BLK 79 CIRCUIT ROAD",20,"BLK 79 CIRCUIT ROAD, Singapore",103.8850841,1.3266177
"BLK 79 TELOK BLANGAH DRIVE",2,"BLK 79 TELOK BLANGAH DRIVE, Singapore",103.807598,1.273301
"BLK 79A CIRCUIT ROAD",8,"BLK 79A CIRCUIT ROAD, Singapore",103.88493,1.3256079
"BLK 80 CIRCUIT ROAD",14,"BLK 80 CIRCUIT ROAD, Singapore",103.8871065,1.3279171
